steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
190000	146966	574.1686482429504	2.579559832929613	2.3922226026168385	1.5339399208455176	4.468829868630953	0.30156610309887355	2.486030242471631	0.1262256920009912	140
200001	154594	604.7425484657288	2.727850915648472	2.3541817282098947	1.7401266673222693	4.47867532230766	-0.11327702617840071	2.4904493527936165	0.13257241621433755	151
210000	162070	635.332540512085	2.545859236214549	2.4013026752441546	1.8837566120359452	4.467172699259833	-0.06744350937386007	2.450896325614668	0.13230407320317789	160
220000	169480	665.895129442215	2.3660870958590685	2.3743613670359682	1.7146413868947146	4.490799854149952	0.22814834077831903	2.515973882780468	0.1359632916051175	170
230000	176615	696.3929738998413	2.126594908014502	1.3432750635909376	2.104570064642863	4.476051052228792	-0.06579548043005737	2.6199224656589513	0.13811887605990728	180
240000	183626	726.8932819366455	1.8754053965955455	1.2408754582236936	1.9745062075972077	4.4733930418763554	-0.03623482517457569	2.6293607192944353	0.1408300466077486	190
250000	190703	757.4284288883209	0.7330635735812403	0.25327152804093345	1.0803920943358216	2.3961193699585803	-0.31631856006044345	2.546375568568174	0.14813065396749778	200
260001	198027	788.0388910770416	2.72942196027837	2.3677758757624954	1.4198176350112444	4.477814342612885	-0.10662338846170377	2.413774692192802	0.14820328254303147	211
270003	205264	818.6152634620667	2.008057891953812	2.3126982313043323	1.988682599980691	4.4737839750772865	-0.12558985237659237	2.4606790238542917	0.15062966797003002	221
280000	212316	849.088864326477	1.9162028936639948	1.323848542074792	1.9405577333448425	4.465990377786974	-0.05329806024517486	2.5001308991510975	0.14571334543250375	230
290001	219476	879.6224544048309	2.9426429240867704	4.452078647042105	2.059832549192595	4.471108589800054	-0.20465567203683416	2.4589070392930843	0.1442808980806076	241
300000	226817	910.2241871356964	1.1610360153392802	0.2174817480295546	1.6250410687877244	4.479738705714252	-0.30959276937755914	2.5123155615299337	0.14221155242894468	250
310000	234227	940.9023904800415	3.2085291178734394	4.466068898545736	1.7681279626785715	4.480531603991594	0.25917160833206504	2.482389809247083	0.13990094231206723	260
320004	241848	972.2277827262878	2.5793436943522914	2.3616907240279037	1.5398286206765484	4.483709445471496	0.2704994363680653	2.403389471964491	0.13690302009102062	271
330000	249543	1003.0285549163818	2.561216732279629	2.395980474952667	1.5509443615964513	4.480053676556691	0.246800432602286	2.4671117154969577	0.13539715110585174	280
340000	257146	1033.8260505199432	1.5956028583385522	1.256992411830093	1.8421577129099271	4.471636548668003	-0.2600226917995138	2.4428925062656472	0.13835305799505063	290
350000	264752	1064.5859129428864	1.4936719592659122	1.3261136219618501	1.5076522065549147	4.47449993737423	-0.08919977742481827	2.426179573262541	0.14503298957313762	300
360003	272256	1095.47199177742	2.0741802524165	2.171048887174524	1.903117010054696	4.480053676556691	-0.023948947771207832	2.3369801917048583	0.14931649230962152	311
370000	279521	1126.0948939323425	2.3866448934547155	2.3624129436335353	1.9639616892723246	4.4792238739917165	0.2715104192128972	2.3405619494271175	0.14696372031967633	320
380000	286952	1156.7956569194794	2.1305630942324982	2.2871012896575773	1.8413207977368728	4.466720687556558	0.11697399317826118	2.483628296805747	0.14311115386843637	330
390000	294752	1187.6177670955658	1.891607171560834	0.3268523586276763	2.1987714331064336	4.45962403945702	-0.03532182622583463	2.4669382595219225	0.1384420014016402	340
400000	302307	1218.3680803775787	2.582429582419555	2.3732363937798944	1.8270308402788704	4.481866461094111	0.28195377372897135	2.4088455484531783	0.14360291316642992	350
410000	309358	1248.9492402076721	2.755818536698255	3.446301090953857	1.948046733387462	4.477814342612885	0.17222588030566022	2.5000137625125944	0.1437616678032256	360
420000	316386	1279.581032037735	1.2381467994822826	0.27523811498377715	1.836587477387536	4.4778626317203525	-0.10344424630247835	2.4690482111161067	0.13985199882463079	370
430001	323590	1310.2659437656403	2.151032716057537	2.3397032854068307	1.8259455448245039	4.48227063743065	0.22114013016771755	2.5132713707442766	0.14016557862112689	381
440000	331197	1341.0293188095093	1.8499108382409923	2.3088663867271664	1.7508301639374801	4.443450473354752	-0.12916404222256067	2.421725253838303	0.14104475150071172	390
450000	338689	1371.7582249641418	2.9318403116867726	4.4604338888637916	2.078874761229625	4.4826195484556255	-0.0258722668180461	2.4564598276823757	0.14453802425448486	400
460002	346193	1402.582558631897	3.151548316632141	4.433289993464989	1.849534173917414	4.484331315860176	-0.1504231131355143	2.4618765393784185	0.1423430926503588	411
470000	354341	1433.4608299732208	2.1073448559029995	2.3726953613188044	1.9113591455529937	4.4826195484556255	-0.02899489702986403	2.467948686808288	0.14490385761734437	420
480000	362415	1464.3582825660706	1.4477308346043758	0.2976899562805355	1.8134461202071697	4.481333357366793	-0.20953500607546854	2.380051344186991	0.14521672696297755	430
490000	369976	1495.107712984085	2.783440036649164	2.4002448634722153	1.6595872954173332	4.475523863352229	0.1985159652532128	2.5587946048002936	0.142899213252877	440
500000	377397	1525.8659341335297	3.0087757164142226	2.407782063393058	1.414166425453865	4.480053676556691	0.27393826572213376	2.4839423604846753	0.14371382737693789	450
510000	384965	1556.657871246338	2.0986432668277577	2.323098983009876	1.884886441449126	4.444697845899472	-0.06825989270896214	2.494652777859997	0.1419172222133446	460
520000	392326	1587.4972298145294	2.0505978742015714	1.2672142376309061	2.1568198316763647	4.463119369019182	-0.1504231131355143	2.504939842944497	0.1462065627399884	470
530001	399741	1618.384746313095	1.9237609629525405	1.2794204160974845	1.9311934824547228	4.480493276901598	0.19908900015794362	2.437082975752473	0.14527514586834708	481
540000	407385	1649.405265569687	2.288625185927372	2.2949054924200176	2.0649358136467963	4.477951789233209	-0.2284895807871028	2.414449528502786	0.14738591235569623	490
550000	415275	1680.4638874530792	2.527353275540427	3.3808233013432267	2.1538585257319056	4.481866461094111	-0.10662338846170377	2.3855222467109014	0.1524889060298643	500
560000	423045	1711.5027086734772	2.311638280821695	2.3713072019658616	1.1068199481205787	4.4768116246261656	-0.19843389690112648	2.366823709278547	0.15205250571668324	510
570000	430613	1742.4385554790497	2.324409848755549	2.3393275234459128	2.0266246670802714	4.490799847238634	0.0042878498816402155	2.4239502214813466	0.15474707394880083	520
580000	438064	1773.3190383911133	1.6621935379852488	0.2582081477544661	2.0680016352258566	4.480531603991594	-0.30104419846213354	2.36319558936215	0.15571344934031095	530
590001	445753	1804.3207421302795	2.0642026173519574	1.4098323991628077	2.1964310409018157	4.482649968687115	-0.17314575692860984	2.476491808658856	0.1540785720506021	541
600000	453344	1835.2827925682068	1.6024138324017967	0.28391690375767853	2.1073178447159355	4.475523863352229	-0.1275003131288526	2.4758789584499157	0.15851706590470538	550
610000	460719	1866.1835334300995	3.168564324741823	4.42631870066136	1.8309688729346425	4.477260480884796	-0.13715906163349895	2.514523474652125	0.1535111927805525	560
