,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
't',0.0,0.0,0.0,0.15000000000000002,4.279999999991536,0.3299999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.27999999999999997,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'k',0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999998,0.15000000000000002,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,4.129999999986322,0.27999999999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.1,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'c',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,4.169999999986258,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15000000000000002,0.1,0.0,0.0,0.0,0.0,0.0
'p',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.279999999991408,0.2899999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.27999999999999986,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'g',0.0,0.0,0.0,0.27999999999999986,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,4.109999999986478,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.15000000000000002,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'x',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.27999999999999997,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,3.999999999986291,0.28999999999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2899999999999999,0.27999999999999997,0.05,0.0,0.0,0.0,0.0,0.0,0.0
'j',0.0,0.0,0.0,0.0,0.0,0.25,0.27999999999999514,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,3.849999999986986,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'v',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.27999999999999986,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,3.56999999998623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.15000000000000002,0.2,0.0,0.0,0.0,0.0
'z',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.2799999999999999,0.2999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.149999999986645,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'a',0.27999999999999975,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.269999999991351,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'd',0.0,0.2,0.27999999999999986,0.29999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,4.279999999987091,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.25,0.279999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'b',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.15000000000000002,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.239999999986366,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.2999999999999998,0.15000000000000002,0.0,0.0,0.0
'y',0.0,0.0,0.0,0.0,0.25,4.28999999999147,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.27999999999999986,0.2799999999999995,0.2799999999999998,0.27999999999999964,0.3299999999999999,0.2799999999999998,0.0,0.0,0.0,0.0,0.15000000000000002,4.199999999993087,3.9699999999999815,4.009999999999983,3.7199999999999855,3.7899999999999845,0.15000000000000002,0.0,0.0
'i',0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999986,4.289999999991595,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.1,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'n',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15000000000000002,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,3.8199999999863588,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.27999999999999997,0.2,0.0,0.0
